GeneFamily,Sample,Value,Condition
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,GeneFamily,UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_256,108.2251082251,No-Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_257,79.0469310906,No-Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_259,105.9048377572,No-Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_260,71.4285714286,No-Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,GeneFamily,UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_256,108.2251082251,No-Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_257,79.0469310906,No-Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_259,105.9048377572,No-Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_260,71.4285714286,No-Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,GeneFamily,UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_256,45.9040375186,No-Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_257,46.7286952878,No-Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_259,119.40105547040001,No-Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Wild_260,0.0,No-Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,GeneFamily,UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_256,45.9040375186,No-Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_257,46.7286952878,No-Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_259,119.40105547040001,No-Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Wild_260,0.0,No-Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,GeneFamily,UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_256,30.8064780517,No-Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_257,52.2753317705,No-Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_259,67.3779273532,No-Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Wild_260,0.0,No-Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,GeneFamily,UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_256,30.8064780517,No-Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_257,52.2753317705,No-Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_259,67.3779273532,No-Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Wild_260,0.0,No-Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,GeneFamily,UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch
UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_256,38.906513258800004,No-Monarch
UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_257,34.9064440648,No-Monarch
UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_259,60.718709485699996,No-Monarch
UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Wild_260,0.0,No-Monarch
UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,GeneFamily,UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch
UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_256,38.906513258800004,No-Monarch
UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_257,34.9064440648,No-Monarch
UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_259,60.718709485699996,No-Monarch
UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Wild_260,0.0,No-Monarch
UniRef90_A0A073K080|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,GeneFamily,UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch
UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_256,81.6922969365,No-Monarch
UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_257,53.031858457,No-Monarch
UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_259,102.66941140540001,No-Monarch
UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Wild_260,0.0,No-Monarch
UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,GeneFamily,UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch
UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_256,81.6922969365,No-Monarch
UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_257,53.031858457,No-Monarch
UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_259,102.66941140540001,No-Monarch
UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Wild_260,0.0,No-Monarch
UniRef90_A0A081NN63|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,GeneFamily,UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch
UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_256,59.2992669729,No-Monarch
UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_257,28.0040528849,No-Monarch
UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_259,86.03970202100001,No-Monarch
UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Wild_260,0.0,No-Monarch
UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,GeneFamily,UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch
UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_256,59.2992669729,No-Monarch
UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_257,28.0040528849,No-Monarch
UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_259,86.03970202100001,No-Monarch
UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Wild_260,0.0,No-Monarch
UniRef90_A0A081NQW3|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A099TRV5|unclassified,GeneFamily,UniRef90_A0A099TRV5|unclassified,Monarch
UniRef90_A0A099TRV5|unclassified,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A099TRV5|unclassified,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A099TRV5|unclassified,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A099TRV5|unclassified,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A099TRV5|unclassified,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A099TRV5|unclassified,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A099TRV5|unclassified,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A099TRV5|unclassified,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A099TRV5|unclassified,NoMonarch_Experiment_256,9.9147883673,No-Monarch
UniRef90_A0A099TRV5|unclassified,NoMonarch_Experiment_257,43.5568502937,No-Monarch
UniRef90_A0A099TRV5|unclassified,NoMonarch_Experiment_258,41.6662808154,No-Monarch
UniRef90_A0A099TRV5|unclassified,NoMonarch_Experiment_259,0.0,No-Monarch
UniRef90_A0A099TRV5|unclassified,NoMonarch_Wild_260,0.0,No-Monarch
UniRef90_A0A099TRV5|unclassified,NoMonarch_Wild_261,16.753238633,No-Monarch
UniRef90_A0A099TRV5|unclassified,GeneFamily,UniRef90_A0A099TRV5|unclassified,Monarch
UniRef90_A0A099TRV5|unclassified,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A099TRV5|unclassified,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A099TRV5|unclassified,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A099TRV5|unclassified,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A099TRV5|unclassified,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A099TRV5|unclassified,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A099TRV5|unclassified,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A099TRV5|unclassified,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A099TRV5|unclassified,NoMonarch_Experiment_256,9.9147883673,No-Monarch
UniRef90_A0A099TRV5|unclassified,NoMonarch_Experiment_257,43.5568502937,No-Monarch
UniRef90_A0A099TRV5|unclassified,NoMonarch_Experiment_258,41.6662808154,No-Monarch
UniRef90_A0A099TRV5|unclassified,NoMonarch_Experiment_259,0.0,No-Monarch
UniRef90_A0A099TRV5|unclassified,NoMonarch_Wild_260,0.0,No-Monarch
UniRef90_A0A099TRV5|unclassified,NoMonarch_Wild_261,16.753238633,No-Monarch
UniRef90_A0A099U429|unclassified,GeneFamily,UniRef90_A0A099U429|unclassified,Monarch
UniRef90_A0A099U429|unclassified,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A099U429|unclassified,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A099U429|unclassified,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A099U429|unclassified,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A099U429|unclassified,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A099U429|unclassified,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A099U429|unclassified,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A099U429|unclassified,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A099U429|unclassified,NoMonarch_Experiment_256,5.6908736113,No-Monarch
UniRef90_A0A099U429|unclassified,NoMonarch_Experiment_257,11.9327829776,No-Monarch
UniRef90_A0A099U429|unclassified,NoMonarch_Experiment_258,52.9230241995,No-Monarch
UniRef90_A0A099U429|unclassified,NoMonarch_Experiment_259,50.0785818324,No-Monarch
UniRef90_A0A099U429|unclassified,NoMonarch_Wild_260,0.0,No-Monarch
UniRef90_A0A099U429|unclassified,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A099U429|unclassified,GeneFamily,UniRef90_A0A099U429|unclassified,Monarch
UniRef90_A0A099U429|unclassified,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A099U429|unclassified,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A099U429|unclassified,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A099U429|unclassified,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A099U429|unclassified,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A099U429|unclassified,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A099U429|unclassified,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A099U429|unclassified,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A099U429|unclassified,NoMonarch_Experiment_256,5.6908736113,No-Monarch
UniRef90_A0A099U429|unclassified,NoMonarch_Experiment_257,11.9327829776,No-Monarch
