GeneFamily,Sample,Value
UniRef90_A0A062WXY1|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_254,40.5015854778
UniRef90_A0A062WXY1|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_255,33.6725231865
UniRef90_A0A062WXY1|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_256,29.225484031399997
UniRef90_A0A062WXY1|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_257,27.346493313299998
UniRef90_A0A062WXY1|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_258,20.2770855399
UniRef90_A0A062WXY1|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_259,24.480181936399998
UniRef90_A0A062WXY1|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_260,58.9894817808
UniRef90_A0A062WXY1|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_261,0.0
UniRef90_A0A062WXY1|g__Lactobacillus.s__Lactobacillus_murinus,GeneFamily,UniRef90_A0A062WXY1|g__Lactobacillus.s__Lactobacillus_murinus
UniRef90_A0A062WXY1|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_248,26.2422741977
UniRef90_A0A062WXY1|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_249,0.0
UniRef90_A0A062WXY1|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_250,39.638725846999996
UniRef90_A0A062WXY1|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_251,0.0
UniRef90_A0A062WXY1|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_252,0.0
UniRef90_A0A062WXY1|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_253,23.062968981100003
UniRef90_A0A062WXY1|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Experiment_254,34.122818476599996
UniRef90_A0A062WXY1|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Experiment_255,38.7623470789
UniRef90_A0A062WXY1|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_256,28.486947651799998
UniRef90_A0A062WXY1|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_257,23.9371484275
UniRef90_A0A062WXY1|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_258,21.2436630774
UniRef90_A0A062WXY1|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_259,8.2428483994
UniRef90_A0A062WXY1|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Wild_260,61.9540545281
UniRef90_A0A062WXY1|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Wild_261,0.0
UniRef90_A0A062WY03|g__Lactobacillus.s__Lactobacillus_animalis,GeneFamily,UniRef90_A0A062WY03|g__Lactobacillus.s__Lactobacillus_animalis
UniRef90_A0A062WY03|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_248,28.9849817115
UniRef90_A0A062WY03|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_249,0.0
UniRef90_A0A062WY03|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_250,58.0117682471
UniRef90_A0A062WY03|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_251,0.0
UniRef90_A0A062WY03|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_252,0.0
UniRef90_A0A062WY03|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_253,43.216035965100005
UniRef90_A0A062WY03|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_254,53.2240797774
UniRef90_A0A062WY03|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_255,58.5008153488
UniRef90_A0A062WY03|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_256,58.734345886199996
UniRef90_A0A062WY03|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_257,56.9517351606
UniRef90_A0A062WY03|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_258,24.6933687928
UniRef90_A0A062WY03|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_259,43.0094269885
UniRef90_A0A062WY03|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_260,118.44985708780001
UniRef90_A0A062WY03|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_261,0.0
UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_animalis,GeneFamily,UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_animalis
UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_248,22.2675173746
UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_249,0.0
UniRef90_A0A062WY16|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_250,40.921517871599995
