id,NoMonarch_Wild_261,NoMonarch_Wild_260,NoMonarch_Experiment_259,NoMonarch_Experiment_258,NoMonarch_Experiment_257,NoMonarch_Experiment_256,Monarch_Experiment_255,Monarch_Experiment_254,Monarch_Wild_253,Monarch_Wild_252,Monarch_Wild_251,Monarch_Wild_250,Monarch_Wild_249,Monarch_Wild_248
Bacteria.Actinobacteria.Coriobacteriia.Eggerthellales.Eggerthellaceae.Slackia,0,0,0,0,0,0,0,0.10779000000000001,0.43253,0,0,0,4.684880000000001,0
Bacteria.Actinobacteria.Coriobacteriia.Eggerthellales.Eggerthellaceae.Slackia.isoflavoniconvertens,0,0,0,0,0,0,0,0.10779000000000001,0.43253,0,0,0,4.684880000000001,0
Bacteria.Bacteroidetes,0,0,0,0.08864,0,0,0,0,0,16.805329999999998,0,0,0,0
Bacteria.Bacteroidetes.Bacteroidia,0,0,0,0.08864,0,0,0,0,0,16.805329999999998,0,0,0,0
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales,0,0,0,0.08864,0,0,0,0,0,16.805329999999998,0,0,0,0
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae,0,0,0,0.08864,0,0,0,0,0,8.26683,0,0,0,0
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides,0,0,0,0.08864,0,0,0,0,0,8.26683,0,0,0,0
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.uniformis,0,0,0,0.08864,0,0,0,0,0,8.26683,0,0,0,0
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Tannerellaceae,0,0,0,0,0,0,0,0,0,8.5385,0,0,0,0
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Tannerellaceae.Parabacteroides,0,0,0,0,0,0,0,0,0,8.5385,0,0,0,0
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Tannerellaceae.Parabacteroides.goldsteinii,0,0,0,0,0,0,0,0,0,8.5385,0,0,0,0
Bacteria.Deferribacteres,0,0.97206,0.09639,0,0.10026,0,0.06559,0,0,2.10432,4.377269999999999,0,5.3524199999999995,0
Bacteria.Deferribacteres.Deferribacteres,0,0.97206,0.09639,0,0.10026,0,0.06559,0,0,2.10432,4.377269999999999,0,5.3524199999999995,0
Bacteria.Deferribacteres.Deferribacteres.Deferribacterales,0,0.97206,0.09639,0,0.10026,0,0.06559,0,0,2.10432,4.377269999999999,0,5.3524199999999995,0
Bacteria.Deferribacteres.Deferribacteres.Deferribacterales.Deferribacteraceae,0,0.97206,0.09639,0,0.10026,0,0.06559,0,0,2.10432,4.377269999999999,0,5.3524199999999995,0
Bacteria.Deferribacteres.Deferribacteres.Deferribacterales.Deferribacteraceae.Mucispirillum,0,0.97206,0.09639,0,0.10026,0,0.06559,0,0,2.10432,4.377269999999999,0,5.3524199999999995,0
Bacteria.Deferribacteres.Deferribacteres.Deferribacterales.Deferribacteraceae.Mucispirillum.schaedleri,0,0.97206,0.09639,0,0.10026,0,0.06559,0,0,2.10432,4.377269999999999,0,5.3524199999999995,0
Bacteria.Firmicutes,1.9298400000000002,94.58946,99.17851,29.75856,42.49808,90.10774,74.44031,87.80636,71.1508,58.85451,52.627390000000005,90.56730999999999,30.629959999999997,79.19636
