GeneFamily,Sample,Value,Condition
UniRef90_A0A062X7D1|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_251,23.980353346799998,Monarch
UniRef90_A0A062X7D1|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A062X7D1|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_253,19.9874351095,Monarch
UniRef90_A0A062X7D1|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_254,34.1358997264,Monarch
UniRef90_A0A062X7D1|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_255,43.5263063712,Monarch
UniRef90_A0A062X7D1|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_256,34.6316916741,No-Monarch
UniRef90_A0A062X7D1|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_257,23.472062460100002,No-Monarch
UniRef90_A0A062X7D1|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_258,21.2514727427,No-Monarch
UniRef90_A0A062X7D1|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_259,31.8756731933,No-Monarch
UniRef90_A0A062X7D1|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_260,82.1864824351,No-Monarch
UniRef90_A0A062X7D1|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A062X7D1|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_248,11.5402511533,Monarch
UniRef90_A0A062X7D1|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A062X7D1|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_250,15.3635527235,Monarch
UniRef90_A0A062X7D1|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_251,17.972267424200002,Monarch
UniRef90_A0A062X7D1|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A062X7D1|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_253,11.553634748599999,Monarch
UniRef90_A0A062X7D1|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Experiment_254,5.759033173,Monarch
UniRef90_A0A062X7D1|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Experiment_255,13.0015042319,Monarch
UniRef90_A0A062X7D1|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_256,9.5534125866,No-Monarch
UniRef90_A0A062X7D1|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_257,12.3930410022,No-Monarch
UniRef90_A0A062X7D1|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_258,8.984432566499999,No-Monarch
UniRef90_A0A062X7D1|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_259,16.860846169600002,No-Monarch
UniRef90_A0A062X7D1|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Wild_260,16.8005564101,No-Monarch
UniRef90_A0A062X7D1|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A062X7D7|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A062X7D7|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A062X7D7|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A062X7D7|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A062X7D7|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A062X7D7|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A062X7D7|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A062X7D7|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A062X7D7|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_256,0.0,No-Monarch
UniRef90_A0A062X7D7|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_257,0.0,No-Monarch
UniRef90_A0A062X7D7|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A062X7D7|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_259,57.798764300200006,No-Monarch
UniRef90_A0A062X7D7|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_260,0.0,No-Monarch
UniRef90_A0A062X7D7|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A062X7F9|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_248,24.6804978336,Monarch
UniRef90_A0A062X7F9|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A062X7F9|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_250,58.4508757989,Monarch
UniRef90_A0A062X7F9|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A062X7F9|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_252,17.4033509712,Monarch
UniRef90_A0A062X7F9|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_253,42.0170303892,Monarch
UniRef90_A0A062X7F9|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_254,100.6855091108,Monarch
UniRef90_A0A062X7F9|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_255,111.1779160266,Monarch
UniRef90_A0A062X7F9|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_256,46.285727485900004,No-Monarch
UniRef90_A0A062X7F9|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_257,32.8031929602,No-Monarch
UniRef90_A0A062X7F9|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_258,46.466339025299995,No-Monarch
UniRef90_A0A062X7F9|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_259,40.7200525382,No-Monarch
UniRef90_A0A062X7F9|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_260,153.2157197535,No-Monarch
UniRef90_A0A062X7F9|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A062X7G5|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_248,52.39649535939999,Monarch
UniRef90_A0A062X7G5|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A062X7G5|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_250,107.3870990629,Monarch
UniRef90_A0A062X7G5|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_251,19.712429283800002,Monarch
UniRef90_A0A062X7G5|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_252,6.2893081761000005,Monarch
UniRef90_A0A062X7G5|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_253,39.1575915959,Monarch
UniRef90_A0A062X7G5|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_254,97.37012713840001,Monarch
UniRef90_A0A062X7G5|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_255,93.2964557301,Monarch
UniRef90_A0A062X7G5|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_256,109.1494071961,No-Monarch
UniRef90_A0A062X7G5|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_257,108.9348554486,No-Monarch
UniRef90_A0A062X7G5|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_258,59.4336021572,No-Monarch
UniRef90_A0A062X7G5|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_259,41.3085839261,No-Monarch
UniRef90_A0A062X7G5|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_260,192.4420026507,No-Monarch
UniRef90_A0A062X7G5|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A062X7G5|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_248,13.2783290527,Monarch
UniRef90_A0A062X7G5|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A062X7G5|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_250,16.6795123425,Monarch
UniRef90_A0A062X7G5|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_251,13.3571235176,Monarch
UniRef90_A0A062X7G5|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_252,6.5899468027,Monarch
UniRef90_A0A062X7G5|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_253,13.247013705699999,Monarch
UniRef90_A0A062X7G5|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Experiment_254,0.0,Monarch
