GeneFamily,Sample,Value,Condition
UniRef90_A0A015P063|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A015P063|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A015P063|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Wild_252,41.7747457969,Monarch
UniRef90_A0A015P063|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A015P063|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A015P063|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A015P063|g__Bacteroides.s__Bacteroides_uniformis,NoMonarch_Experiment_256,0.0,No-Monarch
UniRef90_A0A015P063|g__Bacteroides.s__Bacteroides_uniformis,NoMonarch_Experiment_257,0.0,No-Monarch
UniRef90_A0A015P063|g__Bacteroides.s__Bacteroides_uniformis,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A015P063|g__Bacteroides.s__Bacteroides_uniformis,NoMonarch_Experiment_259,0.0,No-Monarch
UniRef90_A0A015P063|g__Bacteroides.s__Bacteroides_uniformis,NoMonarch_Wild_260,0.0,No-Monarch
UniRef90_A0A015P063|g__Bacteroides.s__Bacteroides_uniformis,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A015TLD1|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A015TLD1|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A015TLD1|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A015TLD1|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A015TLD1|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Wild_252,30.5797921776,Monarch
UniRef90_A0A015TLD1|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A015TLD1|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A015TLD1|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A015TLD1|g__Bacteroides.s__Bacteroides_uniformis,NoMonarch_Experiment_256,0.0,No-Monarch
UniRef90_A0A015TLD1|g__Bacteroides.s__Bacteroides_uniformis,NoMonarch_Experiment_257,0.0,No-Monarch
